INFO:root:training_config[num_of_optimizers]:2
INFO:root:training_config[num_of_epochs]:20
INFO:root:training_config[batch_size]:1000
INFO:root:training_config[num_of_layers]:6
INFO:root:training_config[model_dims]:512
INFO:root:training_config[num_of_heads]:8
INFO:root:training_config[dropout_prob]:0.1
INFO:root:training_config[smoothing_value]:0.1
INFO:root:training_config[scheduler1]:paper
INFO:root:training_config[scheduler2]:paper
INFO:root:training_config[optimizer_1_lr]:0.1
INFO:root:training_config[num_warmup_steps1]:4000
INFO:root:training_config[optimizer_1_beta1]:0.9
INFO:root:training_config[optimizer_1_beta2]:0.98
INFO:root:training_config[optimizer_1_eps]:1e-09
INFO:root:training_config[optimizer_2_lr]:0.1
INFO:root:training_config[num_warmup_steps2]:4000
INFO:root:training_config[optimizer_2_beta1]:0.8
INFO:root:training_config[optimizer_2_beta2]:0.88
INFO:root:training_config[optimizer_2_eps]:1e-09
INFO:root:training_config[language_direction]:E2G
INFO:root:training_config[dataset_path]:/home/kiran/kiran/dl_lab/project/transformers/lab_transformer/utils_train/../data
INFO:root:training_config[console_log_freq]:10
INFO:root:training_config[checkpoint_freq]:5
INFO:root:
STARTING TRAIN CALL
INFO:root:torch.device: cpu
INFO:root:SETUP NUM OPTIMIZERS: 2
INFO:root:Optimizer 1 is paper
INFO:root:Optimizer 2 is paper
INFO:root:Transformer training: time elapsed= 3.15 [s] | epoch=1 | batch= 1 | target tokens/batch= 72.0
INFO:root:Transformer training: time elapsed= 33.96 [s] | epoch=1 | batch= 11 | target tokens/batch= 810.5999755859375
INFO:root:Transformer training: time elapsed= 64.81 [s] | epoch=1 | batch= 21 | target tokens/batch= 756.7999877929688
INFO:root:Transformer training: time elapsed= 92.32 [s] | epoch=1 | batch= 31 | target tokens/batch= 766.7000122070312
INFO:root:Transformer training: time elapsed= 121.22 [s] | epoch=1 | batch= 41 | target tokens/batch= 796.0
INFO:root:Transformer training: time elapsed= 155.48 [s] | epoch=1 | batch= 51 | target tokens/batch= 826.9000244140625
INFO:root:Transformer training: time elapsed= 187.45 [s] | epoch=1 | batch= 61 | target tokens/batch= 739.7000122070312
INFO:root:Transformer training: time elapsed= 221.49 [s] | epoch=1 | batch= 71 | target tokens/batch= 805.5999755859375
INFO:root:Transformer training: time elapsed= 254.90 [s] | epoch=1 | batch= 81 | target tokens/batch= 801.0
INFO:root:Transformer training: time elapsed= 288.79 [s] | epoch=1 | batch= 91 | target tokens/batch= 776.5999755859375
INFO:root:Transformer training: time elapsed= 321.73 [s] | epoch=1 | batch= 101 | target tokens/batch= 803.5
INFO:root:Transformer training: time elapsed= 350.31 [s] | epoch=1 | batch= 111 | target tokens/batch= 821.0999755859375
INFO:root:Transformer training: time elapsed= 376.52 [s] | epoch=1 | batch= 121 | target tokens/batch= 719.2999877929688
